id,name,draft_year,draft_pick,nba_career_start,nba_career_end,nba_games_played,nba_all_star_selections,nba_all_nba_selections,nba_championships,nba_mvps,nba_rookie_of_the_year,nba_dpoy,nba_mip,nba_sixth_man,college_stats_raw,international_stats_raw,position,height_cm,weight_kg,original_radar_score,current_status_badge
mikal-bridges,Mikal Bridges,2018,10,,,,0,,,,,,,,"{""apg"":1.6,""ppg"":11.3,""rpg"":4.3,""fg_pct"":0.525,""ft_pct"":0.845,""three_pct"":0.4}",,Guard-Forward,198,95,0.34,Bust (Loteria)
myles-turner,Myles Turner,2015,11,,,,0,,,,,,,,"{""apg"":0.6,""ppg"":10.1,""rpg"":6.5,""fg_pct"":0.455,""ft_pct"":0.839,""three_pct"":0.274}",,Center-Forward,211,113,0.32,Bust (Loteria)
nikola-joki,Nikola Jokić,2014,41,,,,7,,,,,,,,{},,Center,211,129,0.17,All-Star Perene
nikola-jokic,Nikola Jokic,,41,,,,,,,,,,,,"{""apg"":4,""per"":25,""ppg"":15,""rpg"":10,""defense"":7,""shooting"":7,""archetype"":""Playmaking Big"",""leadership"":9,""ts_percent"":0.6,""usage_rate"":0.25,""tov_percent"":0.15,""ballHandling"":8,""basketballIQ"":10,""careerRating"":9.7}",,C,211,,0.55,Não Jogou na NBA
og-anunoby,OG Anunoby,2017,23,,,,0,,,,,,,,"{""apg"":0.8,""ppg"":6.8,""rpg"":3.5,""fg_pct"":0.563,""ft_pct"":0.522,""three_pct"":0.365}",,Forward-Guard,201,109,0.29,Bust (1ª Rodada)
robert-covington,Robert Covington,,,,,,0,,,,,,,,"{""apg"":1.2,""ppg"":14.8,""rpg"":7.4,""fg_pct"":0.476,""ft_pct"":0.802,""three_pct"":0.422}",,Forward,201,95,0.36,Bust (Loteria)
stephen-curry,Stephen Curry,2009,7,,,,10,,,,,,,,"{""apg"":3.7,""ppg"":25.3,""rpg"":4.5,""fg_pct"":0.467,""ft_pct"":0.876,""three_pct"":0.412}",,Guard,188,84,0.39,All-Star Perene
trae-young,Trae Young,2018,5,,,,4,,,,,,,,"{""apg"":8.7,""ppg"":27.4,""rpg"":3.9,""fg_pct"":0.422,""ft_pct"":0.861,""three_pct"":0.36}",,Guard,185,74,0.39,All-Star
tristan-thompson,Tristan Thompson,2011,4,,,,0,,,,,,,,"{""apg"":1.3,""ppg"":13.1,""rpg"":7.8,""fg_pct"":0.546,""ft_pct"":0.487,""three_pct"":null}",,Center-Forward,206,115,0.31,Bust (Loteria)
tyrese-haliburton,Tyrese Haliburton,2020,12,,,,2,,,,,,,,"{""apg"":4.7,""ppg"":10.1,""rpg"":4.4,""fg_pct"":0.509,""ft_pct"":0.775,""three_pct"":0.426}",,Guard,196,84,0.36,All-Star
zion-williamson,Zion Williamson,2019,1,,,,1,,,,,,,,"{""apg"":2.1,""ppg"":22.6,""rpg"":8.9,""fg_pct"":0.68,""ft_pct"":0.64,""three_pct"":0.338}",,Forward,198,129,0.37,All-Star
