id,name,position,school,nationality,height,weight,wingspan,age,tier,ranking,stats,analysis,strengths,weaknesses,image,displayinfo,created_at,displayInfo,draftClass,eligibilityStatus,verified,region,team,trending,ranking_espn,ranking_247,ppg,apg,rpg,fg_pct,three_pct,ft_pct,bpg,spg,high_school_team,comparison,scope,source,last_verified_at,api_basketball_id,games_played,total_points,total_field_goal_attempts,two_pt_makes,two_pt_attempts,three_pt_makes,three_pt_attempts,ft_makes,ft_attempts,total_rebounds,total_assists,minutes_played,turnovers,total_blocks,total_steals,ts_percent,efg_percent,orb_percent,drb_percent,trb_percent,ast_percent,tov_percent,stl_percent,blk_percent,usg_percent,total_s_percent,ppr,pp_s,ortg,drtg,win_shares,vorp,bpm,athleticism,strength,speed,shooting,ball_handling,defense,basketball_iq,leadership,improvement,competition_level,coachability,work_ethic,per,games_started,motor,badges,ncaa_raw_stats,conference,league,stats-season,high_school_stats,qualitative_traits,qualitative_archetypes
cayden-boozer-espn-2025,Cayden Boozer,PG,Christopher Columbus (FL),🇺🇸,"{""us"":""6'4"",""intl"":193}","{""us"":190,""intl"":86}",,,,3,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Christopher Columbus (FL),stable,16,23,,,,,0.421,,0.4,2.8,Christopher Columbus (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":45,""to"":60,""3pa"":77,""3pm"":35,""ast"":238,""blk"":7,""fga"":311,""fgm"":191,""fta"":64,""ftm"":55,""min"":0,""pps"":1.5,""pts"":472,""reb"":124,""stl"":43,""2fga"":234,""2fgm"":156,""dreb"":99,""oreb"":25,""3p_pct"":45,""fg_pct"":61,""ft_pct"":86,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":67,""afg_pct"":67,""games_played"":33}}",,
cd813c8e-0fd6-4474-829b-f109675b8a72,Lucas Atauri,SG,Paulistano,🇧🇷,"{""us"":""6'4"",""intl"":193}","{""us"":195,""intl"":88}",79.5,21,Second Round,90,,,,,,,2025-08-18 04:53:00.218+00,,2026,,false,Brazil,Paulistano,,,,6.5,1,1.7,0.399,0.378,0.86,0.2,0.7,Paulistano,,international,RealGM_2024_Enhanced_Scraper,2025-08-18 04:53:00.747065+00,,39,255,213,,,42,111,43,50,68,39,749,39,7,26,0.543,0.498,2.6,9.2,5.8,9.4,14.2,1.9,1,17.4,,,,105.3,107.4,,,,,,,,,,,,,,,,10.7,13,,[],,,NBB,"""2024-25""",,"{""high_motor"":false,""elite_passer"":false,""well_rounded"":false,""elite_shooter"":true,""long_wingspan"":false,""rim_protector"":false,""volume_scorer"":false,""elite_defender"":false,""solid_defender"":true,""tall_playmaker"":false,""low_athleticism"":true,""off_ball_threat"":true,""low_usage_player"":true,""versatile_scorer"":false,""athletic_finisher"":false,""improving_shooter"":false,""developing_shooter"":false,""high_basketball_iq"":false,""high_ft_percentage"":true,""high_usage_playmaker"":false,""strong_perimeter_defender"":true,""catch_and_shoot_specialist"":true,""strong_rebounder_for_position"":false}","[""SHOOTING_SPECIALIST"",""TWO_WAY_PLAYER""]"
chance-mallory-2025,Chance Mallory,PF,Overtime Elite,🇺🇸,"{""us"":""6'7"",""intl"":201}","{""us"":200,""intl"":91}",,,,35,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Overtime Elite,stable,65,55,,,,,0.356,,1.6,1.4,Overtime Elite,,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,Overtime Elite,,,,
chris-cenac-espn-2025,Chris Cenac Jr.,C,Link Academy (MO),🇺🇸,,,,,,69,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,6,7,,,,,0.245,,4.1,1.1,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":0,""to"":4,""3pa"":32,""3pm"":11,""ast"":38,""blk"":27,""fga"":182,""fgm"":93,""fta"":62,""ftm"":44,""min"":0,""pps"":1.3,""pts"":241,""reb"":151,""stl"":22,""2fga"":150,""2fgm"":82,""dreb"":124,""oreb"":27,""3p_pct"":34,""fg_pct"":51,""ft_pct"":71,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":55,""afg_pct"":54,""games_played"":15}}",,
chris-nwuli-2025,Chris Nwuli,PF,Link Academy (MO),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":210,""intl"":95}",,,,29,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,49,129,,,,,0.298,,2.3,1.4,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
cornelius-ingram-espn-2025,Cornelius Ingram Jr.,SF,IMG Academy (FL),🇺🇸,"{""us"":""6'7"",""intl"":201}","{""us"":200,""intl"":91}",,,,18,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,IMG Academy (FL),stable,21,19,,,,,0.349,,1.4,1.9,IMG Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
d041ab08-5980-457e-a9b8-cb3def10300c,Jalen Brunson,PG,Villanova,🇺🇸,"{""us"":""6'1\""""}","{""us"":190,""intl"":86}","6'4\""",22,,,,,,,,,2025-08-08 23:25:19.057766+00,,2018,,,,,,,,18.9,4.6,3.1,0.521,0.408,0.802,0.1,0.9,,,,,2025-08-08 23:25:19.057766+00,,30,,,,,49,120,120,150,,,,,,,0.641,,1.5,,5.5,28,0.1,1.2,0.2,26.2,,,,,,8.8,,10.9,,,,,,,,,,,,,29,,,[],,,NCAA,,,,
darius-acuff-espn-2025,Darius Acuff,PG,IMG Academy (FL),🇺🇸,"{""us"":""6'2"",""intl"":188}","{""us"":175,""intl"":79}",,,,66,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,IMG Academy (FL),stable,7,5,12.3,4.4,3.7,0.391,0.407,0.567,0,1.3,IMG Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,26,319,312,85,221,37,91,38,67,95,114,864,93,1,33,0.464,,,,,,21.3,,,,,,,,,0.1,,,,,,,,,,,,,,,,24,,[],"{""awards"":[""G""],""totals"":{""fg"":122,""ft"":38,""mp"":864,""pf"":53,""ast"":114,""blk"":1,""drb"":75,""fg2"":85,""fg3"":37,""fga"":312,""fta"":67,""orb"":20,""pos"":""G"",""pts"":319,""stl"":33,""tov"":93,""trb"":95,""fg2a"":221,""fg3a"":91,""class"":""FR"",""games"":26,""awards"":"""",""fg_pct"":0.391,""ft_pct"":0.567,""efg_pct"":0.45,""fg2_pct"":0.385,""fg3_pct"":0.407,""conf_abbr"":""OVC"",""games_started"":24,""team_name_abbr"":""Eastern Kentucky""},""perGame"":{""pos"":""G"",""class"":""FR"",""games"":26,""awards"":"""",""fg_pct"":0.391,""ft_pct"":0.567,""efg_pct"":0.45,""fg2_pct"":0.385,""fg3_pct"":0.407,""fg_per_g"":4.7,""ft_per_g"":1.5,""mp_per_g"":33.2,""pf_per_g"":2,""ast_per_g"":4.4,""blk_per_g"":0,""conf_abbr"":""OVC"",""drb_per_g"":2.9,""fg2_per_g"":3.3,""fg3_per_g"":1.4,""fga_per_g"":12,""fta_per_g"":2.6,""orb_per_g"":0.8,""pts_per_g"":12.3,""stl_per_g"":1.3,""tov_per_g"":3.6,""trb_per_g"":3.7,""fg2a_per_g"":8.5,""fg3a_per_g"":3.5,""games_started"":24,""team_name_abbr"":""Eastern Kentucky""},""perPoss"":{""mp"":864,""pos"":""G"",""class"":""FR"",""games"":26,""awards"":"""",""conf_abbr"":""OVC"",""games_started"":24,""team_name_abbr"":""Eastern Kentucky""},""advanced"":{""mp"":864,""ws"":0.1,""dws"":0,""ows"":0.2,""pos"":""G"",""class"":""FR"",""games"":26,""awards"":"""",""ts_pct"":0.464,""tov_pct"":21.3,""conf_abbr"":""OVC"",""ws_per_40"":0.007,""games_started"":24,""team_name_abbr"":""Eastern Kentucky"",""fta_per_fga_pct"":0.215,""fg3a_per_fga_pct"":0.292},""perMinute"":{""mp"":864,""pos"":""G"",""class"":""FR"",""games"":26,""awards"":"""",""fg_pct"":0.391,""ft_pct"":0.567,""efg_pct"":0.45,""fg2_pct"":0.385,""fg3_pct"":0.407,""conf_abbr"":""OVC"",""fg_per_min"":5.6,""ft_per_min"":1.8,""pf_per_min"":2.5,""ast_per_min"":5.3,""blk_per_min"":0,""drb_per_min"":3.5,""fg2_per_min"":3.9,""fg3_per_min"":1.7,""fga_per_min"":14.4,""fta_per_min"":3.1,""orb_per_min"":0.9,""pts_per_min"":14.8,""stl_per_min"":1.5,""tov_per_min"":4.3,""trb_per_min"":4.4,""fg2a_per_min"":10.2,""fg3a_per_min"":4.2,""games_started"":24,""team_name_abbr"":""Eastern Kentucky""}}",,,,,,
darryn-peterson-espn-2025,Darryn Peterson,SG,Huntington Prep (WV),🇺🇸,"{""us"":""6'5"",""intl"":196}","{""us"":195,""intl"":88}",,17,,4,{},,"[""Ótimo pontuador nos três níveis"",""Corpo e atleticismo prontos para NBA"",""Muito bom criando o próprio arremesso"",""Converte arremessos difíceis e contestados""]","[""Precisa envolver melhor os companheiros"",""Inconstante defensivamente""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Huntington Prep (WV),stable,2,1,,,,,0.398,,0.8,2.3,Huntington Prep (WV),Anthony Edwards,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":44,""to"":56,""3pa"":57,""3pm"":28,""ast"":47,""blk"":16,""fga"":248,""fgm"":138,""fta"":118,""ftm"":89,""min"":517,""pps"":1.6,""pts"":393,""reb"":154,""stl"":49,""2fga"":191,""2fgm"":110,""dreb"":97,""oreb"":57,""3p_pct"":49,""fg_pct"":56,""ft_pct"":75,""league"":""Varsity"",""season"":""2021-22"",""2fg_pct"":58,""afg_pct"":61,""games_played"":18}}",,
davis-fogle-rivals-2025,Davis Fogle,SG,Anacortes High School (WA),🇺🇸,"{""us"":""6'7"",""intl"":201}","{""us"":185,""intl"":84}",,,,23,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Anacortes High School (WA),stable,33,31,,,,,0.423,,0.4,1.6,Anacortes High School (WA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
dd3d0181-4768-4e49-ba2e-92cb271987d6,Matthew Able,,,,,,,,,,,,,,,,2025-08-29 03:46:14.991287+00,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,2025-08-29 03:46:14.991287+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,"{""season_total"":{""pf"":64,""to"":60,""3pa"":207,""3pm"":83,""ast"":77,""blk"":17,""fga"":432,""fgm"":187,""fta"":116,""ftm"":94,""min"":0,""pps"":1.3,""pts"":551,""reb"":160,""stl"":57,""2fga"":225,""2fgm"":104,""dreb"":126,""oreb"":34,""3p_pct"":40,""fg_pct"":43,""ft_pct"":81,""league"":""Varsity"",""season"":""2024-25"",""2fg_pct"":46,""afg_pct"":53,""games_played"":29}}",,
derek-dixon-rivals-2025,Derek Dixon,SG,Gonzaga College High School (DC),🇺🇸,"{""us"":""6'3"",""intl"":191}","{""us"":180,""intl"":82}",,,,78,{},,[],,,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Gonzaga College High School (DC),stable,55,45,,,,,0.412,,0.6,1.8,Gonzaga College High School (DC),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],,,,,,,
