id,name,position,school,nationality,height,weight,wingspan,age,tier,ranking,stats,analysis,strengths,weaknesses,image,displayinfo,created_at,displayInfo,draftClass,eligibilityStatus,verified,region,team,trending,ranking_espn,ranking_247,scouting_grade_espn,ppg,apg,rpg,fg_pct,three_pct,ft_pct,bpg,spg,high_school_team,comparison,scope,source,last_verified_at,api_basketball_id,games_played,total_points,total_field_goal_attempts,two_pt_makes,two_pt_attempts,three_pt_makes,three_pt_attempts,ft_makes,ft_attempts,total_rebounds,total_assists,minutes_played,turnovers,total_blocks,total_steals,ts_percent,efg_percent,orb_percent,drb_percent,trb_percent,ast_percent,tov_percent,stl_percent,blk_percent,usg_percent,total_s_percent,ppr,pp_s,ortg,drtg,win_shares,vorp,bpm,athleticism,strength,speed,shooting,ball_handling,defense,basketball_iq,leadership,improvement,competition_level,coachability,work_ethic,draft_class,per,games_started,motor,badges
braydon-hawthorne-2025,Braydon Hawthorne,SG,Oak Hill Academy (VA),🇺🇸,N/A,N/A,,,,51,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Oak Hill Academy (VA),stable,,,,,,,,0.402,,0.3,2.4,Oak Hill Academy (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
braylon-mullins-espn-2025,Braylon Mullins,SG,Fishers (IN),🇺🇸,"{""us"":""6'5"",""intl"":196}","{""us"":185,""intl"":84}",,,,16,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Fishers (IN),stable,,,,,,,,0.401,,0.8,2.6,Fishers (IN),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
bryson-tiller-kansas-2025,Bryson Tiller,PF,Louisville Male (KY),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":210,""intl"":95}",,,,12,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Louisville Male (KY),stable,,,,,,,,0.356,,1.9,1.8,Louisville Male (KY),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
caleb-wilson-espn-2025,Caleb Wilson,PF,Holy Innocents' Episcopal School (GA),🇺🇸,N/A,N/A,,,,70,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Holy Innocents' Episcopal School (GA),stable,,,,,,,,0.367,,1.9,1.4,Holy Innocents' Episcopal School (GA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
cameron-boozer-espn-2025,Cameron Boozer,PF,Christopher Columbus (FL),🇺🇸,"{""us"":""6'9"",""intl"":206}","{""us"":215,""intl"":98}",,17,,2,{},,"[""High-motor, versatile forward"",""Excellent rebounder and interior defender"",""Advanced passer for his position"",""NBA lineage and high IQ""]","[""Not an elite vertical athlete"",""Perimeter shot is still developing"",""Can be foul-prone""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Christopher Columbus (FL),stable,,,,,,,,0.368,,2.4,1.6,Christopher Columbus (FL),Kevin Love,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
cayden-boozer-espn-2025,Cayden Boozer,PG,Christopher Columbus (FL),🇺🇸,"{""us"":""6'4"",""intl"":193}","{""us"":190,""intl"":86}",,,,3,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Christopher Columbus (FL),stable,,,,,,,,0.421,,0.4,2.8,Christopher Columbus (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
chance-mallory-2025,Chance Mallory,PF,Overtime Elite,🇺🇸,"{""us"":""6'7"",""intl"":201}","{""us"":200,""intl"":91}",,,,35,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Overtime Elite,stable,,,,,,,,0.356,,1.6,1.4,Overtime Elite,,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
chris-cenac-espn-2025,Chris Cenac Jr.,C,Link Academy (MO),🇺🇸,N/A,N/A,,,,69,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.245,,4.1,1.1,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
chris-nwuli-2025,Chris Nwuli,PF,Link Academy (MO),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":210,""intl"":95}",,,,29,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.298,,2.3,1.4,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
cornelius-ingram-espn-2025,Cornelius Ingram Jr.,SF,IMG Academy (FL),🇺🇸,"{""us"":""6'7"",""intl"":201}","{""us"":200,""intl"":91}",,,,18,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,IMG Academy (FL),stable,,,,,,,,0.349,,1.4,1.9,IMG Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
darius-acuff-espn-2025,Darius Acuff,PG,IMG Academy (FL),🇺🇸,N/A,N/A,,,,66,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,IMG Academy (FL),stable,,,,,,,,0.391,,0.4,2.6,IMG Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
darryn-peterson-espn-2025,Darryn Peterson,SG,Huntington Prep (WV),🇺🇸,"{""us"":""6'5"",""intl"":196}","{""us"":195,""intl"":88}",,17,,4,{},,"[""Explosive three-level scorer"",""NBA-ready body and athleticism"",""Excellent at creating his own shot"",""Tough shot-maker""]","[""Can be a bit of a ball-stopper"",""Defensive consistency needs improvement"",""Playmaking for others is a work in progress""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Huntington Prep (WV),stable,,,,,,,,0.398,,0.8,2.3,Huntington Prep (WV),Anthony Edwards,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
davis-fogle-rivals-2025,Davis Fogle,SG,Anacortes High School (WA),🇺🇸,N/A,N/A,,,,23,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Anacortes High School (WA),stable,,,,,,,,0.423,,0.4,1.6,Anacortes High School (WA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
derek-dixon-rivals-2025,Derek Dixon,SG,Gonzaga College High School (DC),🇺🇸,N/A,N/A,,,,78,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Gonzaga College High School (DC),stable,,,,,,,,0.412,,0.6,1.8,Gonzaga College High School (DC),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
dewayne-brown-2025,Dewayne Brown,SG,IMG Academy (FL),🇺🇸,N/A,N/A,,,,41,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,IMG Academy (FL),stable,,,,,,,,0.391,,0.5,2.4,IMG Academy (FL),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
dorian-jones-2025,Dorian Jones,SF,Brewster Academy (NH),🇺🇸,N/A,N/A,,,,47,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Brewster Academy (NH),stable,,,,,,,,0.356,,1.1,1.9,Brewster Academy (NH),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
dwayne-aristode-rivals-2025,Dwayne Aristode,SG,Brewster Academy (NH),🇺🇸,N/A,N/A,,,,72,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Brewster Academy (NH),stable,,,,,,,,0.398,,0.7,1.8,Brewster Academy (NH),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
eduardo-klafke-ncaa,Eduardo Klafke,G,Ole Miss,🇧🇷,"{""us"":""6'5\"""",""metric"":196}",,,19,,,,,,,,,2025-08-03 06:17:29.196882+00,,2026,Elegível,true,BRAZIL,Ole Miss,,,,,1.4,0.4,1.1,0.444,0.481,0.545,0.2,0.4,Ole Miss,,NBA_DRAFT,,2025-08-03 17:10:50.623201+00,,36,51,36,3,9,13,27,6,11,38,15,358,11,7,16,0.619,0.625,2.5,9.8,6.1,6.8,21.1,2.6,2.5,7.4,,,,112.1,105.9,0.7,,3.7,7,6,6,8,5,8,8,7,8,7,9,9,2026,8.3,0,9,[]
elzie-harrington-2025,Elzie Harrington,SF,Prolific Prep (CA),🇺🇸,N/A,N/A,,,,42,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Prolific Prep (CA),stable,,,,,,,,0.367,,0.9,1.8,Prolific Prep (CA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
eric-reibe-rivals-2025,Eric Reibe,C,Brewster Academy (NH),🇩🇪,"{""us"":""6'11"",""intl"":211}","{""us"":230,""intl"":104}",,,,15,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Brewster Academy (NH),stable,,,,,,,,0.298,,3.4,0.9,Brewster Academy (NH),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
gabriel-ferreira-ncaa,Gabriel Ferreira,PF,Radford University,🇧🇷,"{""us"":""6'9\"""",""metric"":206}",220 lbs,,19,,,,,"[""Excelente tamanho e atletismo para um ala/pivô moderno."",""Demonstra potencial de duas vias com forte capacidade de rebote, bloqueio de arremessos e versatilidade defensiva."",""Sua capacidade de \""espaçar a quadra como um ala\"" com 38% de aproveitamento nos arremessos de três pontos é uma habilidade altamente cobiçada na NBA."",""Seu reconhecimento no BWB (All-Star, MVP Defensivo) sublinha seu talento e impacto.""]","[""Precisa continuar aprimorando seu jogo ofensivo geral e suas habilidades com a bola."",""Sua transição para o basquete da Divisão I da NCAA em Radford será um teste crucial de sua adaptabilidade e capacidade de manter alta produção contra forte concorrência universitária.""]",,,2025-08-03 18:37:51.405917+00,,,Elegível para o Draft de 2026,,,Radford University,,,,,15.5,0,10.1,0.5,0.38,0.824,1.6,1.4,Radford University,,,,2025-08-03 18:37:52.18+00,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,8,7.5,7,,,,7,,,,,,2026,,,7,[]
hudson-greer-2025,Hudson Greer,PF,Prolific Prep (CA),🇺🇸,"{""us"":""6'7"",""intl"":201}","{""us"":200,""intl"":91}",,,,26,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Prolific Prep (CA),stable,,,,,,,,0.345,,1.4,1.7,Prolific Prep (CA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
isaiah-sealy-2025,Isaiah Sealy,PF,Roselle Catholic (NJ),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":210,""intl"":95}",,,,38,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Roselle Catholic (NJ),stable,,,,,,,,0.323,,2.1,1.5,Roselle Catholic (NJ),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
isiah-harwell-espn-2025,Isiah Harwell,SF,Prolific Prep (CA),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":200,""intl"":91}",,,,11,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Prolific Prep (CA),stable,,,,,,,,0.374,,1.2,2.1,Prolific Prep (CA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jack-mccaffery-2025,Jack McCaffery,PG,Gonzaga Prep (WA),🇺🇸,N/A,N/A,,,,57,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Gonzaga Prep (WA),stable,,,,,,,,0.421,,0.4,2.2,Gonzaga Prep (WA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jaden-toombs-espn-2025,Jaden Toombs,C,Wasatch Academy (UT),🇺🇸,"{""us"":""6'10"",""intl"":208}","{""us"":225,""intl"":102}",,,,20,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Wasatch Academy (UT),stable,,,,,,,,0.289,,2.9,1.2,Wasatch Academy (UT),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jalen-haralson-espn-2025,Jalen Haralson,SF,La Lumiere School (IN),🇺🇸,N/A,N/A,,,,75,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,La Lumiere School (IN),stable,,,,,,,,0.356,,1.4,1.7,La Lumiere School (IN),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jalen-reece-2025,Jalen Reece,PG,Paul VI (VA),🇺🇸,"{""us"":""6'0"",""intl"":183}","{""us"":170,""intl"":77}",,,,36,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Paul VI (VA),stable,,,,,,,,0.407,,0.5,2.1,Paul VI (VA),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jamarion-batemon-2025,Jamarion Batemon,PG,Link Academy (MO),🇺🇸,N/A,N/A,,,,44,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.385,,0.4,2.6,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jamarion-davis-fleming-2025,Jamarion Davis-Fleming,SF,Brewster Academy (NH),🇺🇸,N/A,N/A,,,,60,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Brewster Academy (NH),stable,,,,,,,,0.356,,1,1.9,Brewster Academy (NH),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jamier-jones-rivals-2025,Jamier Jones,SF,Link Academy (MO),🇺🇸,"{""us"":""6'6"",""intl"":198}","{""us"":200,""intl"":91}",,,,22,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.367,,1.1,2.3,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jasper-johnson-espn-2025,Jasper Johnson,SG,Link Academy (MO),🇺🇸,"{""us"":""6'5"",""intl"":196}","{""us"":190,""intl"":86}",,,,10,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Link Academy (MO),stable,,,,,,,,0.425,,0.4,2.2,Link Academy (MO),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jeremiah-green-2025,Jeremiah Green,C,Roselle Catholic (NJ),🇺🇸,N/A,N/A,,,,65,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Roselle Catholic (NJ),stable,,,,,,,,0.245,,3.4,0.9,Roselle Catholic (NJ),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jermaine-oneal-jr-2025,Jermaine O'Neal Jr.,PF,Overtime Elite,🇺🇸,N/A,N/A,,,,50,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Overtime Elite,stable,,,,,,,,0.323,,1.8,1.4,Overtime Elite,,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
jordan-scott-2025,Jordan Scott,PF,Roselle Catholic (NJ),🇺🇸,N/A,N/A,,,,52,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Roselle Catholic (NJ),stable,,,,,,,,0.334,,1.6,1.5,Roselle Catholic (NJ),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
kai-rogers-2025,Kai Rogers,SG,Sol Davis Prep (TX),🇺🇸,N/A,N/A,,,,53,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Sol Davis Prep (TX),stable,,,,,,,,0.415,,0.5,2.1,Sol Davis Prep (TX),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
kareem-stagg-2025,Kareem Stagg,C,Huntington Prep (WV),🇺🇸,N/A,N/A,,,,55,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Huntington Prep (WV),stable,,,,,,,,0.267,,3.1,1,Huntington Prep (WV),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
kayden-edwards-2025,Kayden Edwards,PF,Huntington Prep (WV),🇺🇸,"{""us"":""6'8"",""intl"":203}","{""us"":210,""intl"":95}",,,,32,{},,[],"[""Inexperiência""]",,,2025-07-26 19:58:00.598164+00,{},2026,High School prospect - Draft Eligible 2026,false,USA,Huntington Prep (WV),stable,,,,,,,,0.334,,1.9,1.6,Huntington Prep (WV),,NBA_DRAFT,,2025-07-30 16:21:46.503949+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
